Age,Gender,Budget,Interest_1,Interest_2,Rating,Spot,State
28,F,1800,Beach,Water Sports,5.0,Anjuna Beach,Goa
28,F,1900,Beach,Water Sports,5.0,Anjuna Beach,Goa
29,F,1900,Beach,Water Sports,5.0,Anjuna Beach,Goa
29,M,1900,Beach,Water Sports,5.0,Anjuna Beach,Goa
28,M,1900,Beach,Water Sports,5.0,Anjuna Beach,Goa
28,M,1900,Beach,Water Sports,5.0,Anjuna Beach,Goa
27,F,1800,Beach,Water Sports,5.0,Anjuna Beach,Goa
29,F,1800,Beach,Relaxation,5.0,Candolim Beach,Goa
33,F,2300,Beach,Relaxation,5.0,Majorda Beach,Goa
31,F,2200,Beach,Water Sports,5.0,Vagator Beach,Goa
29,F,1400,Beach,Adventure,4.9,Agonda Beach,Goa
28,F,1900,Beach,Water Sports,4.9,Anjuna Beach,Goa
27,F,1800,Beach,Water Sports,4.9,Anjuna Beach,Goa
27,F,1900,Beach,Water Sports,4.9,Anjuna Beach,Goa
27,M,1900,Beach,Water Sports,4.9,Anjuna Beach,Goa
28,F,1900,Beach,Water Sports,4.9,Anjuna Beach,Goa
27,F,1900,Beach,Water Sports,4.9,Anjuna Beach,Goa
27,F,1900,Beach,Water Sports,4.9,Anjuna Beach,Goa
28,M,1800,Beach,Water Sports,4.9,Anjuna Beach,Goa
35,M,2000,Beach,Shopping,4.9,Benaulim Beach,Goa
35,M,2200,Beach,Shopping,4.9,Benaulim Beach,Goa
33,F,2100,Beach,Shopping,4.9,Benaulim Beach,Goa
34,F,1900,Beach,Shopping,4.9,Benaulim Beach,Goa
34,M,2000,Beach,Shopping,4.9,Benaulim Beach,Goa
35,M,2300,Beach,Shopping,4.9,Benaulim Beach,Goa
30,M,1900,Beach,Relaxation,4.9,Candolim Beach,Goa
29,F,2000,Beach,Relaxation,4.9,Candolim Beach,Goa
30,F,1500,Beach,Relaxation,4.9,Candolim Beach,Goa
35,F,2000,Beach,Relaxation,4.9,Colva Beach,Goa
36,M,2100,Beach,Relaxation,4.9,Colva Beach,Goa
36,F,2100,Beach,Relaxation,4.9,Colva Beach,Goa
36,F,2100,Beach,Relaxation,4.9,Colva Beach,Goa
35,M,2000,Beach,Relaxation,4.9,Colva Beach,Goa
27,F,1400,Beach,Adventure,4.9,Galgibaga Beach,Goa
33,F,2300,Beach,Relaxation,4.9,Majorda Beach,Goa
30,M,2500,Beach,Shopping,4.9,Palolem Beach,Goa
31,M,2200,Beach,Shopping,4.8,Palolem Beach,Goa
29,M,1800,Beach,Water Sports,4.8,Anjuna Beach,Goa
30,F,1900,Beach,Relaxation,4.8,Anjuna Beach,Goa
28,M,1800,Beach,Water Sports,4.8,Anjuna Beach,Goa
29,M,1900,Beach,Water Sports,4.8,Anjuna Beach,Goa
28,M,1800,Beach,Water Sports,4.8,Anjuna Beach,Goa
28,F,1800,Beach,Water Sports,4.8,Anjuna Beach,Goa
27,M,1800,Beach,Water Sports,4.8,Anjuna Beach,Goa
